record_id,date,service,shift,patients_accueillis,personnel_present,actes_realises,temps_attente_moy_min,duree_moyenne_prise_en_charge_min,taux_occupation_lits_pct,satisfaction_patient_pct,cout_service_mad,revenu_service_mad,nb_incidents,nb_absences_personnel,productivite_actes_par_personne,statut_service,marge_service_mad
HOSP-00736,2026-02-19,Médecine interne,Après-midi,93.0,38.0,103.0,31.9,42.7,83.75,74.32,25670.18,73691.34,0,0,2.71,Normal,48021.159999999996
HOSP-00737,2026-01-13,Bloc opératoire,Après-midi,163.0,,163.0,69.0,37.4,91.04,77.18,35211.04,87886.88,0,1,40.75,Normal,52675.840000000004
HOSP-00738,2026-04-18,Pédiatrie,Matin,112.0,19.0,85.0,61.0,49.5,80.25,66.15,11218.31,82708.24,2,0,4.47,Saturé,71489.93000000001
HOSP-00739,2026-01-06,Bloc opératoire,Après-midi,29.0,29.0,34.0,50.6,69.7,75.18,71.42,5046.37,16332.61,0,0,1.17,Normal,11286.240000000002
HOSP-00740,2026-06-12,Cardiologie,Nuit,83.0,44.0,67.0,67.5,36.7,97.76,71.61,29883.4,70929.2,0,1,1.52,Critique,41045.799999999996
HOSP-00741,2026-02-26,Bloc opératoire,Nuit,15.0,20.0,17.0,28.0,68.0,58.37,83.23,3452.86,8834.89,0,1,0.85,Normal,5382.029999999999
HOSP-00742,2026-05-15,Médecine interne,Matin,236.0,34.0,202.0,11.8,61.4,103.94,92.48,26900.7,38981.89,0,2,5.94,Critique,12081.189999999999
HOSP-00743,2026-03-27,Laboratoire,Matin,15.0,13.0,16.0,22.9,74.4,83.92,96.09,52007.69,13571.1,0,0,1.23,Normal,-38436.590000000004
HOSP-00744,2026-05-01,Consultation,Après-midi,107.0,35.0,133.0,37.0,62.0,46.13,73.72,47939.03,54813.92,0,0,3.8,Saturé,6874.889999999999
HOSP-00745,2026-06-07,Cardiologie,Après-midi,39.0,36.0,51.0,28.6,74.1,77.96,90.02,9020.94,31180.53,1,0,1.42,Normal,22159.589999999997
HOSP-00746,2026-01-23,Pédiatrie,Nuit,17.0,5.0,14.0,27.8,72.7,59.08,57.11,3164.75,25434.67,1,1,2.8,Normal,22269.92
HOSP-00747,2026-01-04,Laboratoire,Après-midi,202.0,14.0,234.0,73.4,35.4,74.43,75.34,21822.83,53259.84,0,0,16.71,Normal,31437.009999999995
HOSP-00748,2026-03-06,Consultation,Matin,252.0,,312.0,28.5,97.1,92.0,70.76,40199.22,8216.79,1,0,8.21,Saturé,-31982.43
HOSP-00749,2026-03-26,Bloc opératoire,Matin,144.0,29.0,108.0,84.5,56.8,79.53,85.93,49900.88,72169.64,1,1,3.72,Normal,22268.760000000002
HOSP-00750,2026-02-19,Radiologie,Après-midi,82.0,37.0,68.0,69.4,65.8,82.13,99.0,39515.33,67991.85,0,2,1.84,Saturé,28476.520000000004
HOSP-00751,2026-03-04,Bloc opératoire,Après-midi,119.0,38.0,141.0,6.6,70.3,62.72,82.72,36614.48,31836.91,2,1,3.71,Normal,-4777.570000000003
HOSP-00752,2026-01-30,Laboratoire,Après-midi,227.0,8.0,186.0,63.0,27.1,71.25,65.88,14866.03,42955.44,0,1,23.25,Saturé,28089.410000000003
HOSP-00753,2026-06-01,Consultation,Nuit,232.0,6.0,295.0,65.0,64.2,81.29,69.67,52085.92,43785.33,0,0,49.17,Saturé,-8300.589999999997
HOSP-00754,2026-03-19,Bloc opératoire,Matin,86.0,30.0,99.0,33.5,25.7,68.43,75.78,66957.97,83331.25,0,1,3.3,Normal,16373.279999999999
HOSP-00755,2026-03-15,Radiologie,Nuit,120.0,7.0,83.0,78.0,64.4,56.44,66.2,63750.58,74430.75,1,2,11.86,Normal,10680.169999999998
HOSP-00756,2026-04-08,Radiologie,Nuit,158.0,22.0,130.0,72.6,18.4,96.56,70.55,29462.4,16136.97,0,0,5.91,Sous tension,-13325.430000000002
HOSP-00757,2026-06-27,Radiologie,Nuit,27.0,23.0,30.0,42.7,100.2,52.36,79.53,31528.05,10086.21,0,0,1.3,Saturé,-21441.84
HOSP-00758,2026-03-22,Laboratoire,Nuit,221.0,3.0,289.0,128.8,67.3,93.66,71.15,4771.06,63768.92,0,1,96.33,Sous tension,58997.86
HOSP-00759,2026-05-20,Urgences,Matin,38.0,17.0,36.0,19.6,68.0,96.46,86.02,62540.88,84061.79,1,1,2.12,Normal,21520.909999999996
HOSP-00760,2026-04-10,Laboratoire,Après-midi,47.0,20.0,57.0,29.3,33.3,72.85,82.56,54321.72,46249.14,1,0,2.85,Sous tension,-8072.580000000002
HOSP-00761,2026-03-16,Médecine interne,Nuit,27.0,36.0,28.0,1.0,70.2,80.44,81.48,51574.14,31990.3,0,0,0.78,Normal,-19583.84
HOSP-00762,2026-01-21,Urgences,Après-midi,30.0,8.0,28.0,37.2,40.7,52.5,68.5,49262.22,86274.93,1,0,3.5,Sous tension,37012.70999999999
HOSP-00763,2026-04-13,Radiologie,Après-midi,64.0,24.0,83.0,55.2,70.4,63.23,67.64,47909.71,7130.68,0,1,3.46,Normal,-40779.03
HOSP-00764,2026-05-10,Consultation,Après-midi,169.0,3.0,142.0,125.5,64.7,98.7,59.48,60254.84,16627.4,1,1,47.33,Sous tension,-43627.439999999995
HOSP-00765,2026-04-12,Urgences,Matin,139.0,34.0,175.0,66.4,69.8,83.03,58.16,38042.06,31173.65,0,1,5.15,Normal,-6868.409999999996
HOSP-00766,2026-05-10,Médecine interne,Après-midi,55.0,26.0,44.0,38.9,85.1,86.88,81.99,32406.83,31881.85,0,1,1.69,Saturé,-524.9800000000032
HOSP-00767,2026-04-19,Consultation,Après-midi,229.0,42.0,184.0,23.4,20.1,49.98,57.06,43694.98,7635.45,0,1,4.38,Normal,-36059.530000000006
HOSP-00768,2026-03-02,Bloc opératoire,Après-midi,125.0,26.0,110.0,33.5,72.1,87.68,76.67,66671.31,61485.29,0,0,4.23,Normal,-5186.019999999997
HOSP-00769,2026-02-09,Bloc opératoire,Matin,220.0,38.0,283.0,54.7,61.3,99.52,82.77,43546.38,14328.35,1,0,7.45,Saturé,-29218.03
HOSP-00770,2026-06-12,Consultation,Après-midi,67.0,40.0,51.0,26.4,88.0,62.57,72.61,,8071.79,1,2,1.27,Normal,-10301.23
HOSP-00771,2026-04-26,Bloc opératoire,Matin,192.0,9.0,217.0,84.3,46.8,92.23,73.87,28893.77,91451.97,1,0,24.11,Normal,62558.2
HOSP-00772,2026-05-27,Laboratoire,Nuit,176.0,3.0,182.0,125.8,39.9,62.84,72.63,64373.91,29938.1,1,2,60.67,Normal,-34435.810000000005
HOSP-00773,2026-05-22,Médecine interne,Matin,116.0,10.0,,45.1,85.3,101.3,77.98,6190.5,46747.81,0,1,13.2,Normal,40557.31
HOSP-00774,2026-01-09,Cardiologie,Après-midi,106.0,21.0,143.0,39.4,38.5,61.55,83.51,51709.46,57457.43,0,0,6.81,Normal,5747.970000000001
HOSP-00775,2026-06-14,Laboratoire,Matin,164.0,22.0,202.0,79.5,43.0,83.6,76.13,67152.94,70353.69,2,1,9.18,Normal,3200.75
HOSP-00776,2026-03-19,Cardiologie,Matin,150.0,38.0,142.0,58.2,83.6,79.35,86.56,24489.83,55417.06,0,1,3.74,Critique,30927.229999999996
HOSP-00777,2026-01-13,Laboratoire,Nuit,83.0,21.0,110.0,28.2,91.7,48.6,54.15,38609.33,43446.96,2,0,5.24,Normal,4837.629999999997
HOSP-00778,2026-05-28,Radiologie,Après-midi,196.0,31.0,167.0,35.3,35.8,93.71,77.34,6609.32,59085.48,2,0,5.39,Saturé,52476.16
HOSP-00779,2026-03-06,Pédiatrie,Matin,180.0,8.0,154.0,74.6,40.7,73.17,82.33,12278.11,90578.23,0,2,19.25,Sous tension,78300.12
HOSP-00780,2026-01-21,Bloc opératoire,Matin,249.0,40.0,260.0,25.3,42.5,103.3,79.77,14792.43,84360.03,0,0,6.5,Normal,69567.6
HOSP-00781,2026-06-07,Urgences,Matin,178.0,20.0,219.0,46.9,39.0,104.77,89.75,21653.37,34151.64,1,0,10.95,Saturé,12498.27
HOSP-00782,2026-04-25,Radiologie,Après-midi,104.0,11.0,105.0,56.7,56.9,66.54,86.0,64221.36,20565.1,0,1,9.55,Normal,-43656.26
HOSP-00783,2026-04-07,Consultation,Nuit,143.0,13.0,96.0,32.8,87.8,59.32,91.4,41373.84,7124.28,0,0,7.38,Normal,-34249.56
HOSP-00784,2026-02-23,Urgences,Nuit,248.0,20.0,260.0,25.1,65.5,54.83,95.52,44538.17,90353.03,1,0,13.0,Saturé,45814.86
HOSP-00785,2026-04-10,Pédiatrie,Nuit,120.0,7.0,86.0,71.6,45.1,65.33,98.52,56773.09,36386.22,1,1,12.29,Saturé,-20386.869999999995
HOSP-00786,2026-04-26,Radiologie,Matin,148.0,13.0,134.0,39.4,30.2,56.67,78.3,46362.52,7476.35,0,1,10.31,Sous tension,-38886.17
HOSP-00787,2026-06-25,Cardiologie,Après-midi,112.0,16.0,92.0,35.6,58.8,98.48,88.09,22150.43,92918.27,0,1,5.75,Normal,70767.84
HOSP-00788,2026-04-12,Urgences,Après-midi,215.0,5.0,148.0,130.3,18.7,52.25,59.62,28217.39,87688.34,0,1,29.6,Normal,59470.95
HOSP-00789,2026-04-10,Urgences,Matin,184.0,18.0,216.0,50.1,31.5,57.69,65.87,40686.0,22043.42,1,1,12.0,Saturé,-18642.58
HOSP-00790,2026-06-27,Médecine interne,Matin,30.0,43.0,22.0,34.0,56.0,71.69,87.74,18955.89,32391.24,0,0,0.51,Normal,13435.350000000002
HOSP-00791,2026-03-07,Bloc opératoire,Matin,169.0,19.0,151.0,44.0,38.7,50.7,90.0,55887.49,36367.6,0,1,7.95,Normal,-19519.89
HOSP-00792,2026-01-14,Bloc opératoire,Nuit,229.0,10.0,288.0,87.6,8.0,78.43,75.08,27184.43,31627.66,0,1,28.8,Critique,4443.23
HOSP-00793,2026-06-01,Bloc opératoire,Nuit,51.0,42.0,57.0,35.3,16.3,100.52,81.26,27169.17,32716.07,0,0,1.36,Normal,5546.9000000000015
HOSP-00794,2026-06-27,Laboratoire,Matin,170.0,21.0,207.0,49.3,32.9,100.71,77.99,56126.48,33958.31,1,1,9.86,Normal,-22168.170000000006
HOSP-00795,2026-06-20,Consultation,Après-midi,123.0,13.0,130.0,32.1,52.5,59.95,80.42,16848.92,10421.21,0,2,10.0,Normal,-6427.709999999999
HOSP-00796,2026-02-18,Laboratoire,Nuit,125.0,21.0,94.0,21.4,64.1,90.58,82.13,27164.94,79146.9,0,0,4.48,Normal,51981.95999999999
HOSP-00797,2026-06-03,Médecine interne,Matin,23.0,16.0,25.0,21.1,61.7,103.61,75.36,65903.68,51547.95,0,1,1.56,Critique,-14355.729999999996
HOSP-00798,2026-04-15,Bloc opératoire,Après-midi,157.0,7.0,190.0,87.7,,50.62,85.82,61896.28,24493.49,1,2,27.14,Sous tension,-37402.78999999999
HOSP-00799,2026-04-09,Laboratoire,Matin,39.0,19.0,52.0,36.1,46.0,102.63,75.42,16830.51,59288.52,1,0,2.74,Normal,42458.009999999995
HOSP-00800,2026-02-18,Laboratoire,Nuit,199.0,24.0,215.0,55.7,54.2,47.4,79.57,65345.47,47336.19,1,1,8.96,Normal,-18009.28
HOSP-00801,2026-02-17,Laboratoire,Après-midi,228.0,20.0,274.0,66.9,50.5,72.5,76.14,49974.0,40297.94,0,1,13.7,Normal,-9676.059999999998
HOSP-00802,2026-05-15,Pédiatrie,Après-midi,32.0,20.0,25.0,48.9,49.9,105.75,77.48,5706.19,64559.39,1,1,1.25,Sous tension,58853.2
HOSP-00803,2026-02-28,Cardiologie,Matin,131.0,38.0,132.0,50.6,48.9,74.95,78.69,35471.58,82640.1,0,0,3.47,Saturé,47168.520000000004
HOSP-00804,2026-05-26,Consultation,Nuit,84.0,12.0,103.0,1.6,15.7,92.64,94.79,29420.16,45778.82,0,0,8.58,Normal,16358.66
HOSP-00805,2026-01-07,Consultation,Après-midi,237.0,4.0,267.0,125.1,52.6,90.74,83.75,27856.28,69859.01,2,1,66.75,Saturé,42002.729999999996
HOSP-00806,2026-04-09,Pédiatrie,Nuit,30.0,25.0,28.0,26.5,60.7,61.71,94.66,10830.35,89666.24,1,2,1.12,Normal,78835.89
HOSP-00807,2026-02-11,Pédiatrie,Matin,167.0,35.0,206.0,,70.8,105.48,76.36,26332.34,48107.28,0,0,5.89,Critique,21774.94
HOSP-00808,2026-04-15,Pédiatrie,Nuit,153.0,23.0,159.0,53.3,59.8,54.48,72.45,2702.68,48094.05,1,1,6.91,Normal,45391.37
HOSP-00809,2026-01-28,Laboratoire,Nuit,185.0,26.0,193.0,14.9,71.3,65.31,75.9,37021.22,41391.21,1,1,7.42,Normal,4369.989999999998
HOSP-00810,2026-02-28,Cardiologie,Nuit,253.0,24.0,299.0,74.0,65.6,64.91,79.69,47858.13,44766.54,0,0,12.46,Sous tension,-3091.5899999999965
HOSP-00811,2026-05-20,Pédiatrie,Matin,163.0,25.0,107.0,74.1,55.2,103.33,46.61,4646.69,53103.98,1,0,4.28,Normal,48457.29
HOSP-00812,2026-06-07,Médecine interne,Matin,217.0,19.0,,45.8,60.1,49.33,70.41,10232.32,43669.27,1,1,8.47,Normal,33436.95
HOSP-00813,2026-02-28,Médecine interne,Nuit,35.0,15.0,36.0,13.5,72.2,82.02,76.12,62226.68,46743.21,0,3,2.4,Sous tension,-15483.470000000001
HOSP-00814,2026-03-22,Laboratoire,Après-midi,254.0,22.0,167.0,44.7,68.8,76.6,67.15,9332.23,50399.6,1,1,7.59,Normal,41067.369999999995
HOSP-00815,2026-01-07,Médecine interne,Après-midi,224.0,36.0,247.0,37.3,64.4,63.71,77.86,49560.23,65997.38,2,3,6.86,Normal,16437.15
HOSP-00816,2026-03-07,Pédiatrie,Après-midi,162.0,16.0,178.0,52.3,51.9,92.98,78.94,49704.26,84106.24,1,2,11.12,Normal,34401.98
HOSP-00817,2026-04-11,Urgences,Après-midi,202.0,8.0,225.0,51.3,72.4,49.43,58.68,38153.55,77545.82,1,2,28.12,Normal,39392.270000000004
HOSP-00818,2026-06-17,Urgences,Nuit,157.0,4.0,165.0,79.7,51.9,76.36,66.61,30956.03,57694.97,0,0,41.25,Normal,26738.940000000002
HOSP-00819,2026-06-26,Pédiatrie,Nuit,87.0,43.0,83.0,63.5,81.4,102.04,83.04,6500.26,93368.76,1,0,1.93,Normal,86868.5
HOSP-00820,2026-03-16,Cardiologie,Matin,174.0,27.0,219.0,51.1,44.1,89.74,78.0,47788.75,29480.7,0,0,8.11,Saturé,-18308.05
HOSP-00821,2026-01-15,Pédiatrie,Après-midi,41.0,16.0,34.0,52.0,45.6,88.44,82.24,35180.29,38523.5,1,0,2.12,Normal,3343.209999999999
HOSP-00822,2026-06-07,Cardiologie,Nuit,79.0,40.0,95.0,23.5,75.7,72.98,84.23,23048.37,45338.52,0,1,2.38,Normal,22290.149999999998
HOSP-00823,2026-06-23,Médecine interne,Nuit,199.0,24.0,265.0,53.1,,105.02,73.96,4014.55,11683.34,1,1,11.04,Normal,7668.79
HOSP-00824,2026-01-22,Pédiatrie,Matin,147.0,4.0,175.0,98.2,35.1,89.45,80.06,25593.13,41428.95,0,2,43.75,Normal,15835.819999999996
HOSP-00825,2026-06-14,Pédiatrie,Matin,231.0,9.0,272.0,61.6,50.8,46.27,65.88,11974.79,62120.37,0,0,30.22,Normal,50145.58
HOSP-00826,2026-03-01,Médecine interne,Après-midi,176.0,11.0,127.0,109.1,21.0,105.98,86.71,14214.76,71504.67,0,0,11.55,Critique,57289.909999999996
HOSP-00827,2026-01-21,Radiologie,Après-midi,179.0,21.0,226.0,15.5,62.8,45.62,68.35,41031.45,56943.88,1,1,10.76,Normal,15912.43
HOSP-00828,2026-01-20,Médecine interne,Nuit,71.0,26.0,87.0,52.1,88.3,84.69,77.46,47983.77,30106.7,1,5,3.35,Sous tension,-17877.069999999996
HOSP-00829,2026-04-05,Urgences,Nuit,170.0,16.0,116.0,28.5,32.8,69.51,77.59,4540.03,77413.85,2,0,7.25,Saturé,72873.82
HOSP-00830,2026-01-04,Bloc opératoire,Matin,115.0,14.0,146.0,42.0,42.5,64.39,87.94,53690.85,26327.38,0,1,10.43,Normal,-27363.469999999998
HOSP-00831,2026-03-29,Médecine interne,Après-midi,257.0,21.0,346.0,37.7,78.1,99.74,73.56,43488.94,49076.56,0,2,16.48,Normal,5587.619999999995
HOSP-00832,2026-01-22,Pédiatrie,Matin,71.0,35.0,87.0,57.1,86.5,73.27,60.65,57879.25,37738.74,0,3,2.49,Saturé,-20140.510000000002
HOSP-00833,2026-05-18,Radiologie,Nuit,172.0,12.0,184.0,48.2,37.6,100.59,79.51,38040.37,76941.56,1,1,15.33,Sous tension,38901.189999999995
HOSP-00834,2026-05-01,Cardiologie,Nuit,23.0,18.0,30.0,36.8,50.5,97.88,74.18,38287.87,55683.08,0,2,1.67,Normal,17395.21
HOSP-00835,2026-03-01,Urgences,Matin,134.0,21.0,135.0,50.4,44.5,75.77,77.33,50648.97,49166.22,0,1,6.43,Sous tension,-1482.75
HOSP-00836,2026-05-11,Médecine interne,Après-midi,222.0,12.0,173.0,59.7,32.5,61.69,78.54,65233.35,16589.92,0,0,14.42,Normal,-48643.43
HOSP-00837,2026-05-03,Pédiatrie,Nuit,130.0,26.0,139.0,38.2,49.9,53.47,61.43,2587.98,65594.26,0,0,5.35,Saturé,63006.27999999999
HOSP-00838,2026-05-29,Cardiologie,Matin,170.0,18.0,229.0,37.6,22.5,77.83,88.34,33238.03,26329.39,0,0,12.72,Sous tension,-6908.639999999999
HOSP-00839,2026-03-10,Cardiologie,Matin,34.0,14.0,31.0,13.8,48.4,47.74,92.32,65804.55,62653.45,1,3,2.21,Normal,-3151.100000000006
HOSP-00840,2026-06-08,Pédiatrie,Après-midi,199.0,32.0,142.0,32.3,39.3,63.93,72.07,51339.62,7089.94,0,0,4.44,Normal,-44249.68
HOSP-00841,2026-02-13,Pédiatrie,Matin,256.0,32.0,172.0,32.3,49.0,102.36,75.53,31428.39,31914.8,1,1,5.38,Normal,486.40999999999985
HOSP-00842,2026-05-09,Urgences,Nuit,75.0,5.0,97.0,40.2,46.5,66.89,73.06,2757.94,87159.42,1,0,19.4,Normal,84401.48
HOSP-00843,2026-02-27,Pédiatrie,Nuit,247.0,6.0,327.0,109.3,43.6,95.52,84.28,25591.36,80222.18,0,1,54.5,Saturé,54630.81999999999
HOSP-00844,2026-02-15,Laboratoire,Nuit,165.0,5.0,220.0,92.6,50.5,78.23,62.49,48891.56,13250.83,2,0,44.0,Normal,-35640.729999999996
HOSP-00845,2026-03-03,Radiologie,Après-midi,60.0,12.0,62.0,73.0,60.4,79.83,75.28,61978.96,31732.6,0,1,5.17,Sous tension,-30246.36
HOSP-00846,2026-04-10,Cardiologie,Nuit,206.0,38.0,137.0,40.4,36.9,81.73,84.23,2970.24,92842.99,0,1,3.61,Normal,89872.75
HOSP-00847,2026-03-27,Bloc opératoire,Matin,141.0,27.0,122.0,47.8,58.7,54.42,71.65,67741.92,92099.5,2,0,4.52,Saturé,24357.58
HOSP-00848,2026-03-04,Cardiologie,Après-midi,129.0,18.0,110.0,15.8,68.2,95.12,66.37,43609.55,30267.21,1,2,6.11,Sous tension,-13342.340000000004
HOSP-00849,2026-01-24,Laboratoire,Matin,157.0,24.0,108.0,74.6,57.2,97.83,89.37,63790.88,46969.15,0,1,4.5,Normal,-16821.729999999996
HOSP-00850,2026-06-20,Urgences,Matin,250.0,32.0,300.0,64.6,92.8,58.5,89.4,14938.59,65250.03,0,1,9.38,Sous tension,50311.44
HOSP-00851,2026-04-12,Bloc opératoire,Après-midi,42.0,19.0,35.0,65.4,51.4,46.93,71.68,19822.34,24458.78,1,0,1.84,Saturé,4636.439999999999
HOSP-00852,2026-05-08,Consultation,Nuit,210.0,27.0,169.0,24.9,57.2,81.19,65.92,62134.76,67433.73,0,0,6.26,Normal,5298.969999999994
HOSP-00853,2026-03-17,Urgences,Nuit,25.0,44.0,23.0,1.0,70.1,48.41,78.27,33145.24,7922.82,1,1,0.52,Normal,-25222.42
HOSP-00854,2026-06-23,Pédiatrie,Après-midi,87.0,6.0,83.0,46.7,35.5,66.98,73.82,12216.29,79750.73,1,3,13.83,Normal,67534.44
HOSP-00855,2026-03-03,Urgences,Matin,154.0,18.0,140.0,11.6,52.8,77.77,87.33,,56874.52,0,1,7.78,Saturé,39230.99
HOSP-00856,2026-02-12,Cardiologie,Matin,62.0,42.0,80.0,36.1,121.4,66.61,76.05,16411.31,43086.77,2,0,1.9,Normal,26675.459999999995
HOSP-00857,2026-05-31,Laboratoire,Nuit,71.0,,70.0,29.9,42.9,62.37,73.18,15738.56,79141.36,0,3,1.59,Normal,63402.8
HOSP-00858,2026-04-01,Urgences,Matin,38.0,27.0,41.0,19.3,42.4,74.02,91.21,67921.54,23062.55,0,0,1.52,Normal,-44858.98999999999
HOSP-00859,2026-03-02,Bloc opératoire,Après-midi,206.0,11.0,221.0,24.8,23.8,82.05,86.57,60311.09,75839.76,0,0,20.09,Normal,15528.669999999998
HOSP-00860,2026-05-05,Laboratoire,Nuit,114.0,5.0,138.0,94.5,94.4,48.26,65.54,40554.9,65571.77,0,2,27.6,Critique,25016.870000000003
HOSP-00861,2026-03-07,Radiologie,Nuit,156.0,14.0,203.0,56.7,58.2,65.17,82.06,65244.9,81682.67,0,0,14.5,Saturé,16437.769999999997
HOSP-00862,2026-04-26,Radiologie,Matin,182.0,42.0,164.0,38.0,79.5,93.57,75.76,24376.55,19884.93,1,0,3.9,Normal,-4491.619999999999
HOSP-00863,2026-01-20,Urgences,Après-midi,74.0,39.0,60.0,60.3,83.8,68.96,82.67,37794.72,74705.93,0,0,1.54,Normal,36911.20999999999
HOSP-00864,2026-01-07,Médecine interne,Après-midi,157.0,44.0,162.0,37.8,74.7,92.79,88.47,62967.99,77528.09,0,4,3.68,Normal,14560.099999999999
HOSP-00865,2026-02-12,Consultation,Nuit,148.0,27.0,174.0,61.8,71.1,84.9,83.11,37575.83,60445.94,3,1,6.44,Critique,22870.11
HOSP-00866,2026-01-25,Cardiologie,Matin,136.0,4.0,166.0,97.7,93.7,69.91,70.37,67943.84,15722.45,1,0,41.5,Normal,-52221.39
HOSP-00867,2026-03-27,Urgences,Matin,39.0,39.0,36.0,43.3,48.0,57.22,80.64,41363.15,44101.5,1,0,0.92,Normal,2738.3499999999985
HOSP-00868,2026-06-29,Radiologie,Nuit,243.0,28.0,250.0,49.7,58.4,82.79,86.19,37225.21,25907.91,0,2,8.93,Normal,-11317.3
HOSP-00869,2026-01-10,Cardiologie,Nuit,133.0,42.0,145.0,7.0,29.3,99.78,98.33,34989.47,31470.03,0,2,3.45,Normal,-3519.4400000000023
HOSP-00870,2026-03-23,Urgences,Après-midi,39.0,23.0,33.0,53.2,35.5,55.11,65.27,49157.5,36379.85,0,1,1.43,Normal,-12777.650000000001
HOSP-00871,2026-01-17,Pédiatrie,Nuit,235.0,15.0,301.0,78.2,36.0,66.79,87.46,66026.93,16577.79,0,0,20.07,Normal,-49449.13999999999
HOSP-00872,2026-05-22,Radiologie,Matin,145.0,9.0,113.0,55.3,42.9,53.9,77.95,31519.05,33392.04,1,0,12.56,Normal,1872.9900000000016
HOSP-00873,2026-06-28,Médecine interne,Matin,93.0,28.0,85.0,58.1,21.4,85.69,77.39,13729.61,28437.32,1,0,3.04,Saturé,14707.71
HOSP-00874,2026-05-05,Urgences,Après-midi,190.0,10.0,222.0,89.9,46.1,74.18,79.91,42888.44,12065.85,0,1,22.2,Normal,-30822.590000000004
HOSP-00875,2026-04-21,Pédiatrie,Nuit,136.0,22.0,89.0,20.0,50.0,74.31,99.0,15085.28,75125.91,1,2,4.05,Saturé,60040.630000000005
HOSP-00876,2026-06-23,Consultation,Nuit,249.0,18.0,166.0,68.9,72.5,64.95,78.83,65505.45,14286.24,0,1,9.22,Saturé,-51219.21
HOSP-00877,2026-06-02,Consultation,Après-midi,154.0,20.0,128.0,29.7,37.9,60.63,99.0,35487.37,60329.69,1,0,6.4,Normal,24842.32
HOSP-00878,2026-01-15,Cardiologie,Nuit,183.0,29.0,157.0,52.1,36.7,80.84,84.06,33598.92,93871.96,0,0,5.41,Saturé,60273.04000000001
HOSP-00879,2026-01-25,Radiologie,Nuit,170.0,19.0,151.0,41.6,71.2,78.52,70.93,67936.02,42125.26,1,0,7.95,Critique,-25810.760000000002
HOSP-00880,2026-01-18,Laboratoire,Après-midi,89.0,27.0,90.0,46.0,35.3,55.06,89.44,44310.72,64728.08,0,0,3.33,Normal,20417.36
HOSP-00881,2026-02-09,Cardiologie,Après-midi,166.0,12.0,129.0,77.7,63.5,94.56,89.88,14405.17,8727.62,0,0,10.75,Normal,-5677.549999999999
HOSP-00882,2026-01-04,Urgences,Nuit,103.0,3.0,89.0,150.5,42.8,58.09,55.51,6747.61,50087.73,0,0,29.67,Normal,43340.12
HOSP-00883,2026-04-11,Pédiatrie,Nuit,202.0,20.0,147.0,40.2,,105.67,72.53,14216.46,27040.07,0,1,7.35,Saturé,12823.61
HOSP-00884,2026-06-20,Consultation,Matin,232.0,21.0,164.0,26.6,54.3,78.07,78.92,37874.08,64487.7,0,0,7.81,Saturé,26613.619999999995
HOSP-00885,2026-01-30,Laboratoire,Après-midi,196.0,33.0,222.0,72.0,36.8,62.0,82.01,16646.02,29366.57,0,1,6.73,Normal,12720.55
HOSP-00886,2026-04-29,Cardiologie,Matin,88.0,42.0,74.0,,35.0,48.05,75.19,36227.12,68235.03,0,1,1.76,Saturé,32007.909999999996
HOSP-00887,2026-06-16,Consultation,Matin,44.0,36.0,46.0,52.1,33.3,65.72,80.36,48040.19,45574.66,1,0,1.28,Sous tension,-2465.529999999999
HOSP-00888,2026-01-10,Bloc opératoire,Matin,211.0,38.0,193.0,34.9,73.0,55.4,78.35,49579.72,5296.36,3,1,5.08,Sous tension,-44283.36
HOSP-00889,2026-06-24,Médecine interne,Matin,66.0,15.0,55.0,1.0,45.5,63.07,82.66,36967.11,78597.32,3,1,3.67,Normal,41630.21000000001
HOSP-00890,2026-01-12,Bloc opératoire,Nuit,103.0,9.0,86.0,35.0,62.2,99.31,96.12,49253.46,49980.54,1,0,9.56,Sous tension,727.0800000000017
HOSP-00891,2026-06-23,Urgences,Matin,166.0,3.0,151.0,156.8,81.3,87.81,73.25,61239.67,82761.14,2,1,50.33,Normal,21521.47
HOSP-00892,2026-04-13,Urgences,Après-midi,143.0,42.0,93.0,41.3,39.1,47.43,99.0,8715.84,43039.74,1,1,2.21,Normal,34323.899999999994
HOSP-00893,2026-01-01,Médecine interne,Nuit,95.0,26.0,99.0,2.8,78.5,55.68,81.51,48351.77,46642.96,2,0,3.81,Normal,-1708.8099999999977
HOSP-00894,2026-01-10,Consultation,Nuit,201.0,4.0,215.0,113.5,46.1,55.05,84.61,9538.87,41970.37,1,1,53.75,Normal,32431.5
HOSP-00895,2026-04-25,Médecine interne,Matin,69.0,3.0,88.0,107.3,28.9,98.41,75.5,49996.78,89684.7,2,2,29.33,Normal,39687.92
HOSP-00896,2026-06-28,Cardiologie,Après-midi,195.0,25.0,254.0,74.9,61.3,100.5,77.26,40701.97,37671.33,2,4,10.16,Sous tension,-3030.6399999999994
HOSP-00897,2026-01-11,Laboratoire,Matin,110.0,31.0,72.0,62.1,38.7,45.84,85.7,11713.57,65038.03,0,1,2.32,Normal,53324.46
HOSP-00898,2026-06-17,Bloc opératoire,Nuit,198.0,5.0,195.0,121.8,93.3,71.61,58.44,20084.42,88254.73,2,0,39.0,Sous tension,68170.31
HOSP-00899,2026-03-29,Médecine interne,Après-midi,123.0,23.0,98.0,47.0,94.4,98.15,77.04,61081.08,69877.72,1,0,4.26,Sous tension,8796.64
